Timestamp,Attention Value,Focus State
00:00:00,62,Focused
00:00:01,95,Focused
00:00:02,57,Focused
00:00:03,52,Focused
00:00:04,98,Focused
00:00:05,52,Focused
00:00:06,99,Focused
00:00:07,70,Focused
00:00:08,91,Focused
00:00:09,93,Focused
00:00:10,84,Focused
00:00:11,76,Focused
00:00:12,58,Focused
00:00:13,73,Focused
00:00:14,62,Focused
00:00:15,67,Focused
00:00:16,89,Focused
00:00:17,76,Focused
00:00:18,71,Focused
00:00:19,88,Focused
00:00:20,98,Focused
00:00:21,56,Focused
00:00:22,52,Focused
00:00:23,63,Focused
00:00:24,86,Focused
00:00:25,59,Focused
00:00:26,68,Focused
00:00:27,72,Focused
00:00:28,93,Focused
00:00:29,91,Focused
